tiempo,lane_id,vehiculos_en_cola
1.0,337277951#3_0,0
1.0,337277951#3_1,0
1.0,337277951#1_0,0
1.0,337277951#1_0,0
1.0,337277951#4_0,0
1.0,337277951#4_1,0
1.0,337277951#2_0,0
1.0,337277951#2_1,0
1.0,49217102_0,1
1.0,42143912#5_0,1
1.0,42143912#3_0,0
1.0,42143912#4_0,0
1.0,40668087#1_0,1
1.0,49217102_0,1
2.0,337277951#3_0,0
2.0,337277951#3_1,0
2.0,337277951#1_0,0
2.0,337277951#1_0,0
2.0,337277951#4_0,0
2.0,337277951#4_1,0
2.0,337277951#2_0,0
2.0,337277951#2_1,0
2.0,49217102_0,1
2.0,42143912#5_0,1
2.0,42143912#3_0,0
2.0,42143912#4_0,0
2.0,40668087#1_0,1
2.0,49217102_0,1
3.0,337277951#3_0,0
3.0,337277951#3_1,0
3.0,337277951#1_0,0
3.0,337277951#1_0,0
3.0,337277951#4_0,0
3.0,337277951#4_1,0
3.0,337277951#2_0,0
3.0,337277951#2_1,0
3.0,49217102_0,1
3.0,42143912#5_0,1
3.0,42143912#3_0,0
3.0,42143912#4_0,0
3.0,40668087#1_0,1
3.0,49217102_0,1
4.0,337277951#3_0,0
4.0,337277951#3_1,0
4.0,337277951#1_0,0
4.0,337277951#1_0,0
4.0,337277951#4_0,0
4.0,337277951#4_1,0
4.0,337277951#2_0,0
4.0,337277951#2_1,0
4.0,49217102_0,1
4.0,42143912#5_0,1
4.0,42143912#3_0,0
4.0,42143912#4_0,0
4.0,40668087#1_0,1
4.0,49217102_0,1
5.0,337277951#3_0,0
5.0,337277951#3_1,0
5.0,337277951#1_0,0
5.0,337277951#1_0,0
5.0,337277951#4_0,0
5.0,337277951#4_1,0
5.0,337277951#2_0,0
5.0,337277951#2_1,0
5.0,49217102_0,2
5.0,42143912#5_0,2
5.0,42143912#3_0,0
5.0,42143912#4_0,0
5.0,40668087#1_0,2
5.0,49217102_0,2
6.0,337277951#3_0,0
6.0,337277951#3_1,0
6.0,337277951#1_0,0
6.0,337277951#1_0,0
6.0,337277951#4_0,0
6.0,337277951#4_1,0
6.0,337277951#2_0,0
6.0,337277951#2_1,0
6.0,49217102_0,2
6.0,42143912#5_0,2
6.0,42143912#3_0,0
6.0,42143912#4_0,0
6.0,40668087#1_0,2
6.0,49217102_0,2
7.0,337277951#3_0,0
7.0,337277951#3_1,0
7.0,337277951#1_0,0
7.0,337277951#1_0,0
7.0,337277951#4_0,0
7.0,337277951#4_1,0
7.0,337277951#2_0,0
7.0,337277951#2_1,0
7.0,49217102_0,2
7.0,42143912#5_0,2
7.0,42143912#3_0,0
7.0,42143912#4_0,0
7.0,40668087#1_0,2
7.0,49217102_0,2
8.0,337277951#3_0,0
8.0,337277951#3_1,0
8.0,337277951#1_0,0
8.0,337277951#1_0,0
8.0,337277951#4_0,0
8.0,337277951#4_1,0
8.0,337277951#2_0,0
8.0,337277951#2_1,0
8.0,49217102_0,2
8.0,42143912#5_0,2
8.0,42143912#3_0,0
8.0,42143912#4_0,0
8.0,40668087#1_0,2
8.0,49217102_0,2
9.0,337277951#3_0,0
9.0,337277951#3_1,0
9.0,337277951#1_0,0
9.0,337277951#1_0,0
9.0,337277951#4_0,0
9.0,337277951#4_1,0
9.0,337277951#2_0,0
9.0,337277951#2_1,0
9.0,49217102_0,3
9.0,42143912#5_0,3
9.0,42143912#3_0,0
9.0,42143912#4_0,0
9.0,40668087#1_0,3
9.0,49217102_0,3
10.0,337277951#3_0,0
10.0,337277951#3_1,0
10.0,337277951#1_0,0
10.0,337277951#1_0,0
10.0,337277951#4_0,0
10.0,337277951#4_1,0
10.0,337277951#2_0,0
10.0,337277951#2_1,0
10.0,49217102_0,3
10.0,42143912#5_0,2
10.0,42143912#3_0,0
10.0,42143912#4_0,0
10.0,40668087#1_0,3
10.0,49217102_0,3
11.0,337277951#3_0,0
11.0,337277951#3_1,0
11.0,337277951#1_0,0
11.0,337277951#1_0,0
11.0,337277951#4_0,0
11.0,337277951#4_1,0
11.0,337277951#2_0,0
11.0,337277951#2_1,0
11.0,49217102_0,3
11.0,42143912#5_0,2
11.0,42143912#3_0,0
11.0,42143912#4_0,0
11.0,40668087#1_0,3
11.0,49217102_0,3
12.0,337277951#3_0,0
12.0,337277951#3_1,0
12.0,337277951#1_0,0
12.0,337277951#1_0,0
12.0,337277951#4_0,0
12.0,337277951#4_1,0
12.0,337277951#2_0,0
12.0,337277951#2_1,0
12.0,49217102_0,3
12.0,42143912#5_0,2
12.0,42143912#3_0,0
12.0,42143912#4_0,0
12.0,40668087#1_0,3
12.0,49217102_0,3
13.0,337277951#3_0,0
13.0,337277951#3_1,0
13.0,337277951#1_0,0
13.0,337277951#1_0,0
13.0,337277951#4_0,0
13.0,337277951#4_1,0
13.0,337277951#2_0,0
13.0,337277951#2_1,0
13.0,49217102_0,4
13.0,42143912#5_0,3
13.0,42143912#3_0,0
13.0,42143912#4_0,0
13.0,40668087#1_0,4
13.0,49217102_0,4
14.0,337277951#3_0,0
14.0,337277951#3_1,0
14.0,337277951#1_0,0
14.0,337277951#1_0,0
14.0,337277951#4_0,0
14.0,337277951#4_1,0
14.0,337277951#2_0,0
14.0,337277951#2_1,0
14.0,49217102_0,4
14.0,42143912#5_0,2
14.0,42143912#3_0,0
14.0,42143912#4_0,0
14.0,40668087#1_0,4
14.0,49217102_0,4
15.0,337277951#3_0,0
15.0,337277951#3_1,0
15.0,337277951#1_0,0
15.0,337277951#1_0,0
15.0,337277951#4_0,0
15.0,337277951#4_1,0
15.0,337277951#2_0,0
15.0,337277951#2_1,0
15.0,49217102_0,4
15.0,42143912#5_0,2
15.0,42143912#3_0,0
15.0,42143912#4_0,0
15.0,40668087#1_0,4
15.0,49217102_0,4
16.0,337277951#3_0,0
16.0,337277951#3_1,0
16.0,337277951#1_0,0
16.0,337277951#1_0,0
16.0,337277951#4_0,0
16.0,337277951#4_1,0
16.0,337277951#2_0,0
16.0,337277951#2_1,0
16.0,49217102_0,4
16.0,42143912#5_0,2
16.0,42143912#3_0,0
16.0,42143912#4_0,0
16.0,40668087#1_0,4
16.0,49217102_0,4
17.0,337277951#3_0,0
17.0,337277951#3_1,0
17.0,337277951#1_0,0
17.0,337277951#1_0,0
17.0,337277951#4_0,0
17.0,337277951#4_1,0
17.0,337277951#2_0,0
17.0,337277951#2_1,0
17.0,49217102_0,5
17.0,42143912#5_0,2
17.0,42143912#3_0,0
17.0,42143912#4_0,0
17.0,40668087#1_0,4
17.0,49217102_0,5
18.0,337277951#3_0,0
18.0,337277951#3_1,0
18.0,337277951#1_0,0
18.0,337277951#1_0,0
18.0,337277951#4_0,0
18.0,337277951#4_1,0
18.0,337277951#2_0,0
18.0,337277951#2_1,0
18.0,49217102_0,5
18.0,42143912#5_0,2
18.0,42143912#3_0,0
18.0,42143912#4_0,0
18.0,40668087#1_0,4
18.0,49217102_0,5
19.0,337277951#3_0,0
19.0,337277951#3_1,0
19.0,337277951#1_0,0
19.0,337277951#1_0,0
19.0,337277951#4_0,0
19.0,337277951#4_1,0
19.0,337277951#2_0,0
19.0,337277951#2_1,0
19.0,49217102_0,5
19.0,42143912#5_0,1
19.0,42143912#3_0,0
19.0,42143912#4_0,0
19.0,40668087#1_0,4
19.0,49217102_0,5
20.0,337277951#3_0,0
20.0,337277951#3_1,0
20.0,337277951#1_0,0
20.0,337277951#1_0,0
20.0,337277951#4_0,0
20.0,337277951#4_1,0
20.0,337277951#2_0,0
20.0,337277951#2_1,0
20.0,49217102_0,5
20.0,42143912#5_0,1
20.0,42143912#3_0,0
20.0,42143912#4_0,0
20.0,40668087#1_0,4
20.0,49217102_0,5
21.0,337277951#3_0,0
21.0,337277951#3_1,0
21.0,337277951#1_0,0
21.0,337277951#1_0,0
21.0,337277951#4_0,0
21.0,337277951#4_1,0
21.0,337277951#2_0,0
21.0,337277951#2_1,0
21.0,49217102_0,4
21.0,42143912#5_0,1
21.0,42143912#3_0,0
21.0,42143912#4_0,0
21.0,40668087#1_0,4
21.0,49217102_0,4
22.0,337277951#3_0,0
22.0,337277951#3_1,0
22.0,337277951#1_0,0
22.0,337277951#1_0,0
22.0,337277951#4_0,0
22.0,337277951#4_1,0
22.0,337277951#2_0,0
22.0,337277951#2_1,0
22.0,49217102_0,4
22.0,42143912#5_0,0
22.0,42143912#3_0,0
22.0,42143912#4_0,0
22.0,40668087#1_0,4
22.0,49217102_0,4
23.0,337277951#3_0,0
23.0,337277951#3_1,0
23.0,337277951#1_0,0
23.0,337277951#1_0,0
23.0,337277951#4_0,0
23.0,337277951#4_1,0
23.0,337277951#2_0,0
23.0,337277951#2_1,0
23.0,49217102_0,3
23.0,42143912#5_0,0
23.0,42143912#3_0,0
23.0,42143912#4_0,0
23.0,40668087#1_0,4
23.0,49217102_0,3
24.0,337277951#3_0,0
24.0,337277951#3_1,0
24.0,337277951#1_0,1
24.0,337277951#1_0,1
24.0,337277951#4_0,0
24.0,337277951#4_1,0
24.0,337277951#2_0,0
24.0,337277951#2_1,0
24.0,49217102_0,3
24.0,42143912#5_0,0
24.0,42143912#3_0,0
24.0,42143912#4_0,0
24.0,40668087#1_0,4
24.0,49217102_0,3
25.0,337277951#3_0,0
25.0,337277951#3_1,0
25.0,337277951#1_0,1
25.0,337277951#1_0,1
25.0,337277951#4_0,0
25.0,337277951#4_1,0
25.0,337277951#2_0,0
25.0,337277951#2_1,0
25.0,49217102_0,3
25.0,42143912#5_0,0
25.0,42143912#3_0,0
25.0,42143912#4_0,0
25.0,40668087#1_0,5
25.0,49217102_0,3
26.0,337277951#3_0,0
26.0,337277951#3_1,0
26.0,337277951#1_0,2
26.0,337277951#1_0,2
26.0,337277951#4_0,0
26.0,337277951#4_1,0
26.0,337277951#2_0,0
26.0,337277951#2_1,0
26.0,49217102_0,2
26.0,42143912#5_0,0
26.0,42143912#3_0,0
26.0,42143912#4_0,0
26.0,40668087#1_0,4
26.0,49217102_0,2
27.0,337277951#3_0,0
27.0,337277951#3_1,0
27.0,337277951#1_0,2
27.0,337277951#1_0,2
27.0,337277951#4_0,0
27.0,337277951#4_1,0
27.0,337277951#2_0,0
27.0,337277951#2_1,0
27.0,49217102_0,2
27.0,42143912#5_0,0
27.0,42143912#3_0,0
27.0,42143912#4_0,0
27.0,40668087#1_0,4
27.0,49217102_0,2
28.0,337277951#3_0,0
28.0,337277951#3_1,0
28.0,337277951#1_0,2
28.0,337277951#1_0,2
28.0,337277951#4_0,0
28.0,337277951#4_1,0
28.0,337277951#2_0,0
